symbol,FullName,Exchange
AAPX,T-Rex 2X Long Apple Daily Target ETF,Nasdaq
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Nasdaq
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ
AAT,"American Assets Trust, Inc. Common Stock",NYSE
AAUA,Alpha Architect US Equity 3 ETF,Nasdaq
AAUB,Alpha Architect US Equity 4 ETF,NASDAQ
AAUC,Allied Gold Corporation Common Shares,NYSE
AAUS,Alpha Architect US Equity ETF,NASDAQ
AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ
AB,AllianceBernstein Holding L.P.  Units,NYSE
ABAT,American Battery Technology Company - Common Stock,NASDAQ
ABBV,AbbVie Inc. Common Stock,NYSE
ABCB,Ameris Bancorp Common Stock,NYSE
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ
ABEQ,Absolute Select Value ETF,NYSE Arca
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE
ABFL,Abacus FCF Leaders ETF,Nasdaq
ABG,Asbury Automotive Group Inc Common Stock,NYSE
ABI,VictoryShares Pioneer Asset-Based Income ETF,NASDAQ
ABIG,Argent Large Cap ETF,NASDAQ
ABLD,Abacus FCF Real Assets Leaders ETF,Nasdaq
ABLG,Abacus FCF International Leaders ETF,Nasdaq
ABLS,Abacus FCF Small Cap Leaders ETF,Nasdaq
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ
ABLVW,Able View Global Inc. - Warrant,NASDAQ
ABM,ABM Industries Incorporated Common Stock,NYSE
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ
ABOT,Abacus FCF Innovation Leaders ETF,Nasdaq
ABR,Arbor Realty Trust Common Stock,NYSE
ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",NYSE
ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,NYSE
ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",NYSE
ABSI,Absci Corporation - Common Stock,NASDAQ
ABT,Abbott Laboratories Common Stock,NYSE
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ
ABUF,Aptus Laddered Buffer ETF,Nasdaq
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ
ABVX,Abivax SA - American Depositary Shares,NASDAQ
ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE
ABXB,Abacus Flexible Bond Leaders ETF,Nasdaq
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",NYSE
ACA,"Arcosa, Inc. Common Stock",NYSE
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ
ACAAU,Averin Capital Acquisition Corp. - Units,NASDAQ
ACAAW,Averin Capital Acquisition Corp. - Warrants,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ
ACCO,Acco Brands Corporation Common Stock,NYSE
ACCS,ACCESS Newswire Inc. Common Stock,NYSE American
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ
ACEI,Innovator Equity Autocallable Income Strategy ETF,NYSE Arca
ACEL,"Accel Entertainment, Inc.",NYSE
ACEP,ARS Core Equity Portfolio ETF,NASDAQ
ACES,ALPS Clean Energy ETF,NYSE Arca
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,NASDAQ
ACGCU,ACP Holdings Acquisition Corp. - Units,NASDAQ
ACGCW,ACP Holdings Acquisition Corp. - Warrants,NASDAQ
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",NASDAQ
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",NASDAQ
ACGO,Hartford Alpha Capture Growth ETF,Nasdaq
ACGR,American Century Large Cap Growth ETF,NYSE Arca
ACH,"Accendra Health, Inc. Common Stock",NYSE
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",NYSE
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ
ACHX,Corgi ACHR 2x Daily ETF,Nasdaq
ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ
ACII,Innovator Index Autocallable Income Strategy ETF,NYSE Arca
ACIO,Aptus Collared Investment Opportunity ETF,Nasdaq
ACIU,AC Immune SA - Common Stock,NASDAQ
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,NYSE Arca
ACLC,American Century Large Cap Equity ETF,NYSE Arca
ACLO,TCW AAA CLO ETF,NYSE
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ
ACLZ,Corgi ACLS 2x Daily ETF,Nasdaq
ACM,AECOM Common Stock,NYSE
ACMM,Corgi ACMR 2x Daily ETF,Nasdaq
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE
ACNB,ACNB Corporation - Common Stock,NASDAQ
ACNT,Ascent Industries Co. - Common Stock,NASDAQ
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ
ACOM,Harbor Active Commodity ETF,NYSE Arca
ACON,"Aclarion, Inc. - Common Stock",NASDAQ
ACONW,"Aclarion, Inc. - Warrant",NASDAQ
ACP,abrdn Income Credit Strategies Fund Common Shares,NYSE
ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,NYSE
ACQQ,ProShares Nasdaq-100 Autocallable Income ETF,NASDAQ
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE
ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,NYSE
ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,NYSE
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ
ACRT,ProShares Russell 2000 Autocallable Income ETF,NASDAQ
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ
ACSG,American Century Small Cap Growth Insights ETF,Nasdaq
ACSI,American Customer Satisfaction ETF,Nasdaq
ACSP,ProShares S&P 500 Autocallable Income ETF,NASDAQ
ACSV,American Century Small Cap Value Insights ETF,Nasdaq
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ
ACTG,Acacia Research Corporation - Common Stock,NASDAQ
ACTS,FIS Tactical Equity ETF,NYSE Arca
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ
ACU,Acme United Corporation. Common Stock,NYSE American
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE
ACVA,ACV Auctions Inc. Class A Common Stock,NYSE
ACVF,American Conservative Values ETF,NYSE Arca
ACVT,Advent Convertible Bond ETF,NYSE Arca
ACVU,Hartford Alpha Capture Value ETF,Nasdaq
ACWI,iShares MSCI ACWI ETF,NASDAQ
ACWV,iShares MSCI Global Min Vol Factor ETF,Nasdaq
ACWX,iShares MSCI ACWI ex U.S. ETF,NASDAQ
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ
ACYN,FT Vest Laddered Autocallable Barrier & Income ETF,NYSE Arca
ACYQ,FT Vest Autocallable Barrier & High Income ETF,NYSE Arca
ACYS,FT Vest Laddered Autocallable Barrier & Resilient Income ETF,NYSE Arca
AD,"Array Digital Infrastructure, Inc. Common Shares",NYSE
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ
ADACU,American Drive Acquisition Company - Units,NASDAQ
ADACW,American Drive Acquisition Company - Warrant,NASDAQ
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ
ADAMK,"Adamas Trust, Inc. - 9.600% Senior Notes Due 2031",NASDAQ
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",NASDAQ
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ
ADBE,Adobe Inc. - Common Stock,NASDAQ
ADBG,Leverage Shares 2X Long ADBE Daily ETF,NASDAQ
ADBT,"Advasa Holdings, Inc. - Common stock",NASDAQ
ADBU,Direxion Daily ADBE Bull 2X ETF,NYSE Arca
ADC,Agree Realty Corporation Common Stock,NYSE
ADC$A,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",NYSE
ADCT,ADC Therapeutics SA Common Shares,NYSE
ADDS,Hedgeye Index Adds ETF,NYSE Arca
ADEA,Adeia Inc.  - Common Stock,NASDAQ
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ
ADIG,ADI Global Distribution Inc. Common Stock,NYSE
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ
ADIU,Leverage Shares 2X Long ADI Daily ETF,Nasdaq
ADIV,Guinness Atkinson Asia Pacific Dividend Builder ETF,NYSE Arca
ADM,Archer-Daniels-Midland Company Common Stock,NYSE
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ
ADME,Aptus Drawdown Managed Equity ETF,Nasdaq
ADNT,Adient plc Ordinary Shares,NYSE
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ
ADPV,Adaptiv Select ETF,NYSE Arca
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ
ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAQ
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ
ADT,ADT Inc. Common Stock,NYSE
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ
ADVE,Matthews Asia Dividend Active ETF,NYSE Arca
ADX,Adams Diversified Equity Fund Inc.,NYSE
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,NASDAQ
AEAQU,Activate Energy Acquisition Corp. - Unit,NASDAQ
AEAQW,Activate Energy Acquisition Corp. - Warrant,NASDAQ
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ
AEC,Anfield Energy Inc. - Common Shares,NASDAQ
AEE,Ameren Corporation Common Stock,NYSE
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",NYSE American
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE
AEG,Aegon Ltd. New York Registry Shares,NYSE
AEHG,Leverage Shares 2X Long AEHR Daily ETF,Nasdaq
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ
AEHR,Aehr Test Systems - Common Stock,NASDAQ
AEI,Alset Inc. - Common Stock,NASDAQ
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ
AELV,Harbor AlphaEdge Large Cap Value ETF,NYSE Arca
AEM,Agnico Eagle Mines Limited Common Stock,NYSE
AEMC,Harbor AlphaEdge Mid Cap Core ETF,NYSE Arca
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ
AEMG,Harbor AlphaEdge Mid Cap Growth ETF,NYSE Arca
AEMV,Harbor AlphaEdge Mid Cap Value ETF,NYSE Arca
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAQ
AEO,"American Eagle Outfitters, Inc. Common Stock",NYSE
AEON,"AEON Biopharma, Inc. Class A Common Stock",NYSE American
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ
AER,AerCap Holdings N.V. Ordinary Shares,NYSE
AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",NYSE
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ
AERTW,"Aeries Technology, Inc. - Warrant",NASDAQ
AES,The AES Corporation Common Stock,NYSE
AESB,Harbor AlphaEdge Small Cap Core ETF,NYSE Arca
AESG,Harbor AlphaEdge Small Cap Growth ETF,NYSE Arca
AESI,Atlas Energy Solutions Inc. Common Stock,NYSE
AESL,Harbor AlphaEdge Small Cap Value ETF,NYSE Arca
AESP,Aeon Acquisition I Corp. - Class A Ordinary Shares,NASDAQ
AESPR,Aeon Acquisition I Corp. - Rights,NASDAQ
AESPU,Aeon Acquisition I Corp. - Units,NASDAQ
AESPW,Aeon Acquisition I Corp. - Warrants,NASDAQ
AESR,Anfield U.S. Equity Sector Rotation ETF,Nasdaq
AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,NYSE Arca
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,NYSE
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ
AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ
AFG,"American Financial Group, Inc. Common Stock",NYSE
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",NYSE
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",NYSE
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",NYSE
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",NYSE
AFGR,First Trust Multi-Manager Large Growth ETF,NYSE Arca
AFIF,Anfield Universal Fixed Income ETF,Nasdaq
AFIX,Allspring Broad Market Core Bond ETF,NYSE Arca
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ
AFJKR,"Aimei Health Technology Co., Ltd - Right",NASDAQ
AFJKU,"Aimei Health Technology Co., Ltd - Unit",NASDAQ
AFK,VanEck Africa Index ETF,NYSE Arca
AFL,AFLAC Incorporated Common Stock,NYSE
AFLG,First Trust Active Factor Large Cap ETF,NYSE Arca
AFMC,First Trust Active Factor Mid Cap ETF,NYSE Arca
AFOS,ARS Focused Opportunity Strategy ETF,NASDAQ
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ
AFRIW,Forafric Global PLC - Warrants,NASDAQ
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ
AFRU,T-REX 2X Long AFRM Daily Target ETF,Nasdaq
AFSC,abrdn Focused U.S. Small Cap Active ETF,NASDAQ
AFSM,First Trust Active Factor Small Cap ETF,NYSE Arca
AFYA,Afya Limited - Class A Common Shares,NASDAQ
AG,First Majestic Silver Corp. Ordinary Shares (Canada),NYSE
AGBK,AGI Inc Class A Common Shares,NYSE
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ
AGCO,AGCO Corporation Common Stock,NYSE
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,NYSE
AGEM,abrdn Emerging Markets Dividend Active ETF,NASDAQ
AGEN,Agenus Inc. - Common Stock,NASDAQ
AGG,iShares Core U.S. Aggregate Bond ETF,NYSE Arca
AGGA,EA Astoria Beacon Dynamic Core US Fixed Income ETF,NASDAQ
AGGH,Simplify Aggregate Bond ETF,NYSE Arca
AGGM,iShares 1-10 Year U.S. Aggregate Bond ETF,NYSE Arca
AGGS,Harbor Disciplined Bond ETF,NYSE Arca
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,NYSE Arca
AGI,Alamos Gold Inc. Class A Common Shares,NYSE
AGIG,Abundia Global Impact Group Inc. Common stock,NYSE American
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ
AGIQ,SoFi Agentic AI ETF,NYSE Arca
AGIX,KraneShares Public-Private AI & Technology ETF,NASDAQ
AGL,"agilon health, inc. Common Stock",NYSE
AGM,Federal Agricultural Mortgage Corporation Common Stock,NYSE
AGM$D,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",NYSE
AGM$E,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",NYSE
AGM$F,"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F",NYSE
AGM$G,"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock, Series G",NYSE
AGM$H,"Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock, Series H",NYSE
AGM$I,"Federal Agricultural Mortgage Corporation 6.875% Non-Cumulative Preferred Stock, Series I",NYSE
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,NYSE
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ
AGMI,Themes Silver Miners ETF,NASDAQ
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",NASDAQ
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAQ
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",NASDAQ
AGNG,Global X Aging Population ETF,NASDAQ
AGNT,"AGNT, Inc. - Common Stock",NASDAQ
AGO,Assured Guaranty Ltd. Common Stock,NYSE
AGOX,Adaptive Alpha Opportunities ETF,NYSE Arca
AGPU,Axe Compute Inc. - Common Stock,NASDAQ
AGQ,ProShares Ultra Silver,NYSE Arca
AGQI,First Trust Active Global Quality Income ETF,NYSE Arca
AGRO,Adecoagro S.A. Common Shares,NYSE
AGRW,Allspring LT Large Growth ETF,NYSE Arca
AGRZ,Agroz Inc. - Class A Ordinary Shares,NASDAQ
AGX,"Argan, Inc. Common Stock",NYSE
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ
AGZ,iShares  Agency Bond ETF,NYSE Arca
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,NASDAQ
AHBM,Amplify Top 10 Asia Memory ETF,NYSE Arca
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ
AHD,GraniteShares Autocallable HOOD ETF,NASDAQ
AHG,Akso Health Group - American Depositary Shares,NASDAQ
AHL$D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,NYSE
AHL$E,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares",NYSE
AHL$F,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1,000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share",NYSE
AHLT,AHL Trend ETF,NYSE Arca
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ
AHR,"American Healthcare REIT, Inc. Common Stock",NYSE
AHRT,"AH Realty Trust, Inc. Common Stock",NYSE
AHRT$A,"AH Realty Trust, Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock",NYSE
AHT,Ashford Hospitality Trust Inc Common Stock,NYSE
AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,NYSE
AHT$F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,NYSE
AHT$G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,NYSE
AHT$H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,NYSE
AHT$I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,NYSE
AHYB,American Century Select High Yield ETF,NYSE Arca
AI,"C3.ai, Inc. Class A Common Stock",NYSE
AIA,iShares Asia 50 ETF,NASDAQ
AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ
AIB,AIB Data Centers Inc. Common Stock,NYSE American
AIBD,Direxion Daily AI and Big Data Bear 2X ETF,NYSE Arca
AIBU,Direxion Daily AI and Big Data Bull 2X ETF,NYSE Arca
AIBZ,Bitzero Holdings Inc. - Common Shares,NASDAQ
AIDX,"20/20 Biolabs, Inc. - Common Stock",NASDAQ
AIEQ,Amplify AI Powered Equity ETF,NYSE Arca
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",NASDAQ
AIFC,AI Financial Corporation - Common Stock,NASDAQ
AIFD,TCW Artificial Intelligence ETF,NASDAQ
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ
AIFU,AIFU Inc. - Class A Ordinary Share,NASDAQ
AIG,"American International Group, Inc. New Common Stock",NYSE
AIHY,Defiance AI Hyperscale Leaders ETF,NYSE Arca
AII,"American Integrity Insurance Group, Inc. Common Stock",NYSE
AIIA,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,NYSE
AIIA.R,"AI Infrastructure Acquisition Corp. Rights, each entitling the holder to receive one-fifth (1/5) of one Class A Ordinary Share",NYSE
AIIA.U,"AI Infrastructure Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one Right",NYSE
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ
AIIOW,Robo.ai Inc. - Warrant,NASDAQ
AIIR,Air Global PLC - Ordinary shares,NASDAQ
AIM,AIM ImmunoTech Inc. Common Stock,NYSE American
AIMD,"Ainos, Inc. - Common Stock",NASDAQ
AIMDW,"Ainos, Inc. - warrants",NASDAQ
AIMS,Acuitas Small Cap Active ETF,NASDAQ
AIN,Albany International Corporation Common Stock,NYSE
AINF,Defiance Inference AI Chip ETF,NASDAQ
AINP,Allspring Income Plus ETF,NYSE Arca
AINT,FINQ DOLLAR NEUTRAL U.S. Large Cap AI-Managed Equity ETF,NYSE Arca
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,NYSE
AIOO,AllianzIM U.S. Equity Buffer100 Protection ETF,Nasdaq
AIOS,AIOS Tech Inc. - Class A Common Shares,NASDAQ
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ
AIP,"Arteris, Inc.  - Common Stock",NASDAQ
AIPI,REX AI Equity Premium Income ETF,NASDAQ
AIPO,Defiance AI & Power Infrastructure ETF,NASDAQ
AIQ,Global X Artificial Intelligence & Technology ETF,NASDAQ
